date,ticker,action,score,entry,stop,target,exit_price,exit_reason,exit_day,gross_pct,net_pct,spy_leg_pct,size_mult,mr_trigger,quality_score,mfe_pct,atr_pct,days_to_earnings,days_since_earnings,dow,trin,ad_ema10_chg,zweig_thrust,near_52wk_low,vix_entry,spy_trend_entry,ibs_entry,change_pct_entry,year
2021-07-19,ULTA,BUY,56.64,323.68,310.0,341.92,341.92,target,1,5.635,5.135,,,multi,46.1,7.143,2.82,37.0,53.0,0,,,False,False,22.5,1,0.547,-2.544,2021
2019-08-05,CMCSA,BUY,50.04,32.32,31.36,33.61,33.07,adaptive,2,2.327,1.827,,,multi,25.5,2.854,1.99,80.0,11.0,0,,,False,False,24.59,1,0.449,-2.438,2019
2011-08-02,EA,BUY,50.04,20.55,19.62,21.8,19.6,stop,1,-4.656,-5.156,,,multi,33.9,1.039,3.04,189.0,,1,,,False,False,24.79,0,0.01,-3.371,2011
2013-10-08,EA,BUY,58.04,23.47,22.29,25.04,24.29,adaptive,7,3.515,3.015,,,multi,57.9,4.591,3.35,28.0,67.0,1,,,False,False,20.34,1,0.008,-4.673,2013
2014-10-13,EA,BUY,58.04,32.6,31.32,34.3,31.24,stop,1,-4.163,-4.663,,,multi,33.4,0.566,2.62,22.0,69.0,0,,,False,False,24.64,0,0.026,-3.765,2014
2016-06-27,EA,BUY,56.64,69.86,67.45,73.09,73.09,target,2,4.612,4.112,,,multi,19.8,5.723,2.31,43.0,140.0,0,,,False,False,23.85,0,0.239,-2.336,2016
2026-03-06,EA,BUY,71.0,197.66,195.55,200.48,199.73,adaptive,2,1.046,0.546,,,multi,65.1,1.395,0.71,,31.0,4,,,False,False,29.49,1,0.398,-1.375,2026
2015-09-28,MLM,BUY,60.04,141.57,134.03,151.62,150.34,adaptive,3,6.193,5.693,,,multi,41.8,6.251,3.55,38.0,52.0,0,,,False,False,27.63,-1,0.143,-4.172,2015
2020-12-14,MLM,BUY,53.12,253.37,239.98,271.23,256.87,adaptive,2,1.381,0.881,,,multi,35.1,1.988,3.52,141.0,46.0,0,,,False,False,24.72,1,0.124,-2.807,2020
2021-03-23,MLM,BUY,56.64,310.53,295.72,330.29,330.29,target,2,6.362,5.862,,,multi,37.6,7.546,3.18,42.0,145.0,1,,,False,False,20.3,1,0.398,-1.69,2021
2022-01-19,MLM,BUY,50.04,382.25,366.97,402.61,363.55,stop,2,-4.892,-5.392,,,multi,39.5,1.537,2.66,104.0,78.0,2,,,False,False,23.85,1,0.021,-1.544,2022
2021-11-29,CE,BUY,54.8,147.3,142.08,154.25,141.94,stop,0,-3.637,-4.137,,,multi,33.9,0.595,2.36,151.0,38.0,0,,,False,False,22.96,1,0.125,-0.684,2021
2011-07-27,JNJ,BUY,54.64,42.48,41.76,43.44,41.72,stop,2,-1.792,-2.292,,,multi,36.8,0.598,1.13,13.0,78.0,2,,,False,False,22.98,1,0.123,-1.047,2011
2014-12-16,JNJ,BUY,52.04,75.2,73.56,77.38,77.38,target,1,2.904,2.404,,,multi,27.7,3.438,1.45,136.0,47.0,1,,,False,False,23.57,1,0.096,-1.154,2014
2021-03-04,JNJ,BUY,58.04,132.95,129.13,138.04,138.04,target,2,3.826,3.326,,,multi,35.3,4.397,1.91,57.0,132.0,3,,,False,False,28.57,1,0.346,-2.016,2021
2010-11-16,UNH,BUY,56.64,27.4,26.38,28.77,28.11,adaptive,2,2.593,2.093,,,multi,38.7,3.99,2.5,168.0,103.0,1,,,False,False,22.58,1,0.351,-1.297,2010
2020-09-23,UNH,BUY,50.8,266.29,255.72,280.38,280.38,target,2,5.293,4.793,,,multi,43.6,6.099,2.65,40.0,51.0,2,,,False,False,28.58,1,0.073,-0.72,2020
2019-08-05,BSX,BUY,72.12,41.63,40.24,43.48,42.76,adaptive,2,2.714,2.214,,,multi,38.2,2.955,2.22,92.0,6.0,0,,,False,False,24.59,1,0.319,-3.251,2019
2021-09-20,BSX,BUY,56.64,44.02,42.73,45.75,45.0,adaptive,2,2.226,1.726,,,multi,44.4,3.135,1.96,45.0,45.0,0,,,False,False,25.71,1,0.476,-1.645,2021
2013-10-08,AMGN,BUY,52.64,75.83,73.14,79.41,77.76,adaptive,2,2.552,2.052,,,multi,51.5,3.126,2.36,21.0,63.0,1,,,False,False,20.34,1,0.219,-2.232,2013
2021-11-29,HCA,BUY,50.04,220.3,212.29,230.98,230.98,target,5,4.847,4.347,,,multi,38.1,5.532,2.42,155.0,28.0,0,,,False,False,22.96,1,0.091,-0.468,2021
2007-11-01,XOM,BUY,57.74,45.77,44.17,47.89,46.64,adaptive,2,1.906,1.406,,,multi,40.1,2.041,2.32,643.0,,3,,,False,False,23.21,1,0.169,-3.794,2007
2007-10-24,COP,BUY,54.8,32.87,31.53,34.67,34.03,adaptive,2,3.519,3.019,,,multi,47.9,4.119,2.73,650.0,,2,,,False,False,20.8,1,0.423,-1.887,2007
2013-06-20,COP,BUY,58.96,39.56,38.64,40.8,38.6,stop,1,-2.434,-2.934,,,multi,35.4,0.049,1.56,43.0,51.0,3,,,False,False,20.49,1,0.147,-2.317,2013
2021-07-19,COP,BUY,58.04,44.76,42.38,47.94,47.94,target,1,7.108,6.608,,,multi,42.6,7.327,3.55,17.0,74.0,0,,,False,False,22.5,1,0.595,-3.243,2021
2022-12-08,COP,BUY,58.04,99.79,93.84,107.72,98.04,time_loss,5,-1.753,-2.253,,,multi,43.4,2.882,3.97,147.0,35.0,3,,,False,False,22.29,0,0.12,-1.985,2022
2021-07-19,EOG,BUY,58.04,55.69,52.06,60.52,56.98,time,10,2.314,1.814,,,multi,37.3,6.943,4.34,16.0,74.0,0,,,False,False,22.5,1,0.305,-4.83,2021
2022-12-06,EOG,BUY,54.64,111.42,104.35,120.83,107.88,time_loss,3,-3.176,-3.676,,,multi,26.6,1.366,4.23,149.0,33.0,1,,,False,False,22.17,0,0.1,-4.734,2022
2009-12-08,HAL,BUY,58.04,20.34,19.13,21.94,21.94,target,3,7.9,7.4,,,multi,45.0,8.63,3.95,500.0,46.0,1,,,False,False,23.69,1,0.143,-3.249,2009
2016-06-27,HAL,BUY,51.26,35.3,33.67,37.48,37.48,target,2,6.174,5.674,,,multi,29.3,6.451,3.09,35.0,52.0,0,,,False,False,23.85,0,0.1,-4.645,2016
2011-03-16,HON,BUY,50.24,35.75,34.45,37.47,37.01,adaptive,2,3.54,3.04,,,multi,51.4,4.32,2.41,36.0,,2,,,False,False,29.4,1,0.333,-2.179,2011
2019-08-05,HON,BUY,58.04,133.13,129.66,137.77,137.77,target,5,3.479,2.979,,,multi,45.4,4.077,1.74,73.0,18.0,0,,,False,False,24.59,1,0.22,-3.571,2019
2010-01-25,RTX,BUY,53.64,29.12,28.36,30.14,28.43,time_loss,7,-2.382,-2.882,,,multi,23.4,1.265,1.74,,,0,,,False,False,25.41,1,0.032,-0.709,2010
2011-07-27,RTX,BUY,50.68,37.28,36.17,38.76,36.13,stop,1,-3.077,-3.577,,,multi,28.5,0.321,1.99,,,2,,,False,False,22.98,1,0.11,-2.831,2011
2014-02-03,RTX,BUY,54.64,51.04,49.66,52.89,52.16,adaptive,3,2.178,1.678,,,multi,50.2,2.584,1.81,,,0,,,False,False,21.44,1,0.011,-3.385,2014
2019-10-02,RTX,BUY,58.26,70.45,68.54,73.0,71.49,adaptive,2,1.476,0.976,,,multi,52.8,2.447,1.81,301.0,,2,,,False,False,20.56,1,0.204,-2.481,2019
2021-08-19,RTX,BUY,56.64,75.06,72.88,77.97,76.99,adaptive,2,2.569,2.069,,,multi,49.1,3.35,1.94,68.0,23.0,3,,,False,False,21.67,1,0.203,-1.907,2021
2011-07-27,CAT,BUY,54.64,70.47,67.41,74.56,67.47,time_loss,3,-4.266,-4.766,,,multi,37.0,1.29,2.9,8.0,79.0,2,,,False,False,22.98,1,0.094,-3.669,2011
2004-03-11,DE,BUY,56.64,20.54,19.79,21.54,21.21,adaptive,2,3.251,2.751,,,multi,44.0,4.112,2.44,,,3,,,False,False,20.67,1,0.073,-2.916,2004
2010-04-27,DE,BUY,70.66,44.22,42.51,46.51,45.23,adaptive,3,2.268,1.768,,,multi,40.5,2.819,2.58,395.0,242.0,1,,,False,False,22.81,1,0.101,-4.646,2010
2010-05-04,DE,BUY,57.74,42.25,40.4,44.72,40.36,stop,1,-4.476,-4.976,,,multi,32.1,2.583,2.92,388.0,249.0,1,,,False,False,23.84,1,0.201,-4.729,2010
2023-01-09,LMT,BUY,54.64,420.95,406.91,439.68,406.06,stop,3,-3.538,-4.038,,,multi,38.4,0.801,2.22,99.0,83.0,0,,,False,False,21.97,0,0.238,-3.011,2023
2015-01-06,CSX,BUY,54.64,9.43,9.08,9.89,9.73,adaptive,7,3.197,2.697,,,multi,32.9,3.404,2.45,99.0,83.0,1,,,False,False,21.12,1,0.128,-3.985,2015
2021-01-04,CSX,BUY,51.06,27.21,26.37,28.34,28.34,target,1,4.118,3.618,,,multi,29.2,4.722,2.06,107.0,74.0,0,,,False,False,26.97,1,0.164,-3.041,2021
2025-11-17,CSX,BUY,54.64,33.67,32.69,34.98,34.55,adaptive,5,2.617,2.117,,,multi,42.3,2.882,1.94,156.0,32.0,0,,,False,False,22.38,1,0.032,-2.55,2025
2012-02-15,UNP,BUY,53.96,39.82,38.48,41.62,40.73,adaptive,2,2.269,1.769,,,multi,14.8,2.635,2.25,64.0,117.0,2,,,False,False,21.14,1,0.105,-3.322,2012
2007-08-09,ETN,BUY,58.04,26.56,25.27,28.29,28.29,target,0,6.501,6.001,,,multi,38.1,8.912,3.25,726.0,,3,,,False,False,26.48,0,0.0,-7.677,2007
2013-10-08,ETN,BUY,54.64,48.78,47.23,50.85,50.85,target,2,4.242,3.742,,,multi,37.2,4.984,2.12,30.0,67.0,1,,,False,False,20.34,1,0.091,-1.949,2013
2019-05-13,ETN,BUY,52.04,69.21,67.17,71.92,70.12,adaptive,5,1.318,0.818,,,multi,43.5,1.813,1.96,78.0,13.0,0,,,False,False,20.55,1,0.162,-3.669,2019
2022-01-19,ETN,BUY,54.64,152.79,147.74,159.53,146.56,stop,2,-4.077,-4.577,,,multi,44.5,0.811,2.21,104.0,78.0,2,,,False,False,23.85,1,0.051,-1.944,2022
2021-09-28,XYL,BUY,52.5,122.08,118.6,126.71,118.48,stop,1,-2.944,-3.444,,,multi,30.7,0.255,1.9,35.0,56.0,1,,,False,False,23.25,1,0.032,-4.006,2021
2025-11-17,XYL,BUY,60.04,138.88,134.69,144.46,138.41,time,10,-0.339,-0.839,,,multi,38.5,2.227,2.01,162.0,20.0,0,,,False,False,22.38,1,0.221,-1.219,2025
2020-02-25,PG,BUY,71.64,103.66,101.31,106.79,101.21,stop,1,-2.361,-2.861,,,multi,70.0,0.799,1.51,55.0,33.0,1,,,False,False,27.85,1,0.179,-1.517,2020
2019-10-02,KO,BUY,71.64,43.87,42.98,45.07,44.18,adaptive,2,0.692,0.192,,,multi,63.4,1.944,1.36,22.0,69.0,2,,,False,False,20.56,1,0.117,-2.873,2019
2021-01-05,KO,BUY,58.96,44.41,43.17,46.06,43.12,stop,0,-2.887,-3.387,,,multi,39.2,0.096,1.86,112.0,75.0,1,,,False,False,25.34,1,0.254,-1.099,2021
