ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
PHM,2015-02-24,2015-02-25,2015-03-03,20.1655,19.1841,-4.8666,-5.3666,stop,4,0.3869,-7.8676,2.7288,63.39,26.98,0.9825
PNC,2015-03-02,2015-03-03,2015-03-23,64.8866,66.7174,2.8216,2.3216,time,14,4.5513,-1.0594,1.4243,63.7,26.2,1.0
KEY,2015-03-12,2015-03-13,2015-03-19,9.3407,9.2383,-1.0966,-1.5966,time_loss,4,1.0281,-2.0562,1.9169,64.44,25.81,0.9937
VRTX,2015-03-16,2015-03-17,2015-03-23,127.16,123.4346,-2.9297,-3.4297,stop,4,7.2114,-4.0579,3.0319,63.51,29.21,0.9757
NTRS,2015-03-16,2015-03-17,2015-03-23,53.2952,52.5814,-1.3393,-1.8393,time_loss,4,1.4509,-1.9113,1.6701,64.03,31.82,0.998
AFL,2015-03-18,2015-03-19,2015-03-25,24.3535,24.3266,-0.1104,-0.6104,time_loss,4,1.8921,-1.4033,1.4062,63.61,25.58,0.9699
SPG,2015-03-20,2015-03-23,2015-03-27,113.0327,111.2798,-1.5508,-2.0508,time_loss,4,0.897,-2.8837,1.8034,64.18,25.67,0.8752
CLX,2015-03-20,2015-03-23,2015-03-27,80.2874,79.2715,-1.2654,-1.7654,time_loss,4,1.0949,-2.0102,1.3467,63.02,26.58,0.9804
PSA,2015-03-23,2015-03-24,2015-03-26,130.9857,126.983,-3.0558,-3.5558,stop,2,0.6651,-3.0178,1.69,64.88,25.54,0.9164
FDS,2015-03-30,2015-03-31,2015-04-10,140.871,140.3576,-0.3644,-0.8644,time_loss,7,1.7407,-1.5396,1.6086,63.28,27.88,0.9951
ROP,2015-03-30,2015-03-31,2015-04-07,161.6197,159.6954,-1.1907,-1.6907,time_loss,4,0.341,-2.364,1.4289,64.92,42.17,0.9965
APTV,2015-04-02,2015-04-06,2015-04-24,64.5623,66.0411,2.2905,1.7905,time,14,4.3728,-0.7227,1.7879,61.83,25.06,0.9566
NCLH,2015-05-14,2015-05-15,2015-05-21,54.87,54.68,-0.3463,-0.8463,time_loss,4,4.8843,-0.6743,2.6724,62.92,26.67,0.9707
KR,2015-05-15,2015-05-18,2015-05-29,29.2986,29.2866,-0.0412,-0.5412,time_loss,8,2.4578,-0.1373,1.688,56.88,27.58,0.8604
CBRE,2015-05-27,2015-05-28,2015-06-03,38.49,38.15,-0.8833,-1.3833,time_loss,4,0.5716,-1.6628,1.661,56.53,29.23,0.9055
STZ,2015-06-03,2015-06-04,2015-06-05,102.6513,100.046,-2.538,-3.038,stop,1,0.1651,-2.6079,1.392,64.47,25.4,0.995
MDLZ,2015-07-21,2015-07-22,2015-07-27,33.1955,32.4567,-2.2256,-2.7256,stop,3,1.4151,-2.6651,1.2254,62.39,37.32,0.9842
V,2015-11-05,2015-11-06,2015-11-12,73.7474,72.71,-1.4067,-1.9067,time_loss,4,1.0358,-2.8654,2.0823,63.15,25.04,0.9772
KO,2015-12-04,2015-12-07,2015-12-11,31.2118,30.4108,-2.5662,-3.0662,stop,4,0.3002,-2.7014,1.4113,61.14,25.58,0.97
PM,2015-12-16,2015-12-17,2015-12-18,53.6868,52.1886,-2.7907,-3.2907,stop,1,0.0888,-3.4973,1.5377,64.0,29.3,0.9929
PM,2015-12-29,2015-12-30,2016-01-04,53.9202,52.3037,-2.9981,-3.4981,stop,2,0.0895,-4.0716,1.4226,60.42,28.09,0.9929
KLAC,2016-03-11,2016-03-14,2016-03-30,5.8068,6.1606,6.0937,5.5937,target,11,6.1186,0.0,1.5179,62.57,25.79,0.9808
FISV,2016-03-29,2016-03-30,2016-04-05,51.055,50.485,-1.1164,-1.6164,time_loss,4,1.3907,-1.2438,1.6718,64.39,25.13,0.9972
AWK,2016-04-08,2016-04-11,2016-04-20,57.7869,57.9422,0.2687,-0.2313,time_loss,7,2.419,-1.5137,1.5318,64.86,26.16,0.9896
HAS,2016-04-13,2016-04-14,2016-04-18,58.125,62.2586,7.1116,6.6116,target,2,7.5138,-1.0995,1.7855,64.48,26.01,0.9392
CL,2016-05-12,2016-05-13,2016-05-17,57.3467,56.0424,-2.2746,-2.7746,stop,2,0.0,-2.9209,1.2427,64.31,25.8,0.9969
NEM,2016-05-17,2016-05-18,2016-05-19,27.3405,25.4019,-7.0904,-7.5904,stop,1,2.0023,-7.4084,3.8823,64.28,34.75,0.9902
GLW,2016-05-26,2016-05-27,2016-06-10,15.544,15.7673,1.4362,0.9362,stop,9,6.1286,-0.299,1.9408,63.32,30.98,0.8568
TSCO,2016-05-27,2016-05-31,2016-06-06,16.4711,16.2528,-1.3252,-1.8252,time_loss,4,0.4245,-2.8989,1.7893,63.09,27.56,0.989
WAT,2016-06-01,2016-06-02,2016-06-10,138.13,138.04,-0.0652,-0.5652,time_loss,6,1.8606,-0.5285,1.476,63.14,25.99,0.9829
MRK,2016-06-23,2016-06-24,2016-07-08,39.3473,41.6583,5.8732,5.3732,target,9,6.2991,-1.6774,1.4266,62.65,30.71,0.9726
EFX,2016-06-30,2016-07-01,2016-07-22,116.5542,123.4939,5.954,5.454,time,14,6.469,-0.2341,1.8477,60.78,25.99,0.9997
AOS,2016-06-30,2016-07-01,2016-07-22,37.1928,37.8049,1.6457,1.1457,time,14,4.3014,-2.6785,1.9879,64.87,29.8,1.0
MDT,2016-07-01,2016-07-05,2016-07-25,67.1388,67.5498,0.6122,0.1122,time,14,3.3323,-0.1633,1.5607,64.63,27.38,0.9893
PFE,2016-07-01,2016-07-05,2016-07-25,21.6022,22.3559,3.489,2.989,time,14,4.6427,-0.4502,1.4306,64.08,25.16,0.9899
ALB,2016-07-12,2016-07-13,2016-07-21,74.8249,73.7312,-1.4617,-1.9617,time_loss,6,2.0697,-1.9528,2.5118,64.85,26.32,0.9813
CME,2016-07-12,2016-07-13,2016-08-02,67.8544,70.2343,3.5074,3.0074,time,14,3.6477,-0.5612,1.5468,64.56,25.6,0.9774
CNP,2016-09-07,2016-09-08,2016-09-09,17.1461,16.8792,-1.5569,-2.0569,stop,1,1.7634,-2.7527,1.5652,59.61,25.93,0.8729
ED,2016-09-21,2016-09-22,2016-09-28,55.2547,54.4156,-1.5186,-2.0186,time_loss,4,1.5059,-2.0163,1.5334,60.02,29.54,0.8611
CPAY,2016-09-21,2016-09-22,2016-10-04,171.61,171.27,-0.1981,-0.6981,time_loss,8,1.8822,-1.6374,1.8046,63.59,27.62,0.995
EIX,2016-09-22,2016-09-23,2016-09-29,49.7653,48.4774,-2.588,-3.088,stop,4,1.5438,-3.2204,1.4162,60.04,27.84,0.8567
