ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
JPM,2009-09-17,2009-09-18,2009-09-24,29.7846,29.2119,-1.9231,-2.4231,time_loss,4,2.7851,-2.2547,2.8515,64.15,26.31,0.8598
AMGN,2009-09-21,2009-09-22,2009-09-23,41.897,40.4262,-3.5105,-4.0105,stop,1,0.1763,-3.429,1.9539,64.75,28.7,0.8763
EOG,2009-10-07,2009-10-08,2009-10-21,29.6905,33.1633,11.6967,11.1967,target,9,12.6412,-0.3871,2.9425,63.49,25.27,0.9175
HAL,2009-10-12,2009-10-13,2009-10-26,21.9684,22.3818,1.8821,1.3821,stop,9,10.1724,-2.931,3.1665,64.97,26.77,0.9988
INTC,2009-10-12,2009-10-13,2009-10-19,13.1794,13.1151,-0.4876,-0.9876,time_loss,4,3.7055,-2.3891,2.2858,64.16,25.46,0.9719
CAT,2009-10-15,2009-10-16,2009-10-20,35.8974,40.1047,11.7202,11.2202,target,2,13.2508,-0.9056,2.8947,64.82,25.13,0.9994
CVX,2009-11-25,2009-11-27,2009-12-08,40.1513,39.7013,-1.1207,-1.6207,time_loss,7,2.3058,-1.52,1.8493,64.64,42.48,0.9929
TJX,2010-01-07,2010-01-08,2010-01-14,7.7088,7.6042,-1.357,-1.857,time_loss,4,1.383,-1.8528,2.1404,63.51,31.67,0.9329
UNH,2010-01-14,2010-01-15,2010-01-21,25.8162,25.6481,-0.651,-1.151,stop,3,7.5433,-1.61,2.6636,64.97,27.14,0.9994
CMG,2010-02-12,2010-02-16,2010-02-22,2.1144,2.0786,-1.6932,-2.1932,time_loss,4,0.7283,-2.5728,3.1134,64.72,26.14,0.9955
CMCSA,2010-03-01,2010-03-02,2010-03-22,5.4699,5.7787,5.6447,5.1447,time,14,6.2389,-0.7724,2.3551,64.37,26.19,0.8623
ECL,2010-07-26,2010-07-27,2010-07-27,38.6176,38.5596,-0.15,-0.65,stop,0,4.7979,-0.4755,1.8309,64.76,27.58,1.0
ETN,2011-01-31,2011-02-01,2011-02-22,37.1671,36.8299,-0.9073,-1.4073,stop,14,4.2934,-1.2109,2.3239,63.1,29.13,0.9774
AMP,2011-02-11,2011-02-14,2011-02-22,46.1817,45.6681,-1.1121,-1.6121,time_loss,5,2.005,-1.8483,2.4317,64.39,27.45,0.9953
CI,2011-03-09,2011-03-10,2011-03-15,39.2781,36.7443,-6.4508,-6.9508,stop,3,0.3671,-6.5397,2.1469,63.46,27.15,0.9947
ROST,2011-04-05,2011-04-06,2011-04-07,15.6502,15.0939,-3.5546,-4.0546,stop,1,0.3162,-3.5464,1.985,61.86,25.33,0.9668
BKNG,2011-07-01,2011-07-05,2011-07-14,20.5632,20.5824,0.0936,-0.4064,stop,7,5.1714,-1.2381,2.4898,63.39,25.02,0.9037
CI,2011-07-01,2011-07-05,2011-07-11,47.0832,45.2476,-3.8985,-4.3985,stop,4,0.4977,-4.2496,2.1744,64.49,25.15,0.9996
LIN,2012-01-17,2012-01-18,2012-01-24,83.8168,83.4269,-0.4653,-0.9653,time_loss,4,1.4597,-1.706,1.6181,64.88,38.79,0.9656
AXP,2012-02-16,2012-02-17,2012-02-24,43.7967,43.8132,0.0375,-0.4625,time_loss,4,0.2064,-1.5944,1.8459,64.48,26.17,0.9591
LEN,2012-03-08,2012-03-09,2012-03-23,21.1869,21.1814,-0.0258,-0.5258,stop,10,7.8486,-0.3586,3.5872,63.76,34.61,0.9692
V,2012-04-13,2012-04-16,2012-04-20,27.7657,27.3076,-1.6499,-2.1499,time_loss,4,0.0081,-2.4382,1.9346,63.57,31.65,0.9898
HD,2012-06-07,2012-06-08,2012-06-21,37.0449,37.0811,0.0976,-0.4024,time_loss,9,4.0422,-0.7811,1.9796,60.84,28.79,0.9472
VZ,2012-09-21,2012-09-24,2012-09-28,22.7526,22.6384,-0.5022,-1.0022,time_loss,4,0.5677,-1.1791,1.3712,63.77,26.63,0.9399
AMP,2012-10-17,2012-10-18,2012-10-23,43.9425,42.5149,-3.2488,-3.7488,stop,3,0.7308,-3.586,1.7965,64.56,25.96,0.9296
HD,2012-11-30,2012-12-03,2012-12-07,47.4752,47.0735,-0.8462,-1.3462,time_loss,4,1.4154,-2.3846,1.7004,64.88,30.92,0.9942
SPGI,2012-12-06,2012-12-07,2012-12-07,44.9264,44.859,-0.15,-0.65,stop,0,4.237,0.0,1.7712,63.2,26.64,0.8577
